CRASH_DATE,CRASH_TIME,BOROUGH,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_MOTORIST_INJURED,NUMBER_OF_MOTORIST_KILLED,VEHICLE_TYPE
2020-07-03,11:30:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 3
2020-02-05,17:40:00,BOROUGH 2,1,0,0,0,VEHOCLE TYPE 1
2020-08-04,14:45:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-03-13,3:50:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-07-10,3:19:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 2
2020-06-19,14:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-06-30,20:25:00,BOROUGH 3,1,0,1,0,VEHOCLE TYPE 1
2020-01-15,4:55:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-06-26,11:00:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 1
2020-03-05,14:47:00,BOROUGH 2,1,0,1,0,VEHOCLE TYPE 2
2020-08-17,13:25:00,BOROUGH 5,1,0,1,0,VEHOCLE TYPE 1
2020-05-20,15:53:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-04-30,12:00:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 1
2020-07-26,16:20:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-08-08,22:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-01-14,17:20:00,BOROUGH 1,1,0,0,0,VEHOCLE TYPE 4
2020-02-27,15:30:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 1
2020-06-20,7:00:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 5
2020-06-04,15:30:00,BOROUGH 2,1,0,1,0,VEHOCLE TYPE 1
2020-01-02,20:40:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 1
2020-02-04,11:20:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-02-23,10:15:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 2
2020-05-11,9:45:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 4
2020-02-04,11:30:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 4
2020-02-08,13:27:00,BOROUGH 1,1,0,0,0,VEHOCLE TYPE 4
2020-02-15,8:29:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-02-21,18:00:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 2
2020-02-02,16:30:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-01-07,6:50:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 3
2020-02-27,17:15:00,BOROUGH 1,1,0,1,0,VEHOCLE TYPE 1
2020-05-10,8:00:00,BOROUGH 3,1,0,1,0,VEHOCLE TYPE 4
2020-03-16,0:05:00,BOROUGH 1,1,0,1,0,VEHOCLE TYPE 1
2020-03-06,17:30:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-05-19,19:00:00,BOROUGH 2,3,0,3,0,VEHOCLE TYPE 2
2020-01-09,16:30:00,BOROUGH 3,2,0,2,0,VEHOCLE TYPE 1
2020-07-16,20:22:00,BOROUGH 3,2,0,2,0,VEHOCLE TYPE 1
2020-07-19,3:45:00,BOROUGH 4,1,0,1,0,VEHOCLE TYPE 4
2020-01-24,19:50:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-01-03,17:21:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 6
2020-05-08,8:26:00,BOROUGH 3,1,0,1,0,VEHOCLE TYPE 4
2020-01-04,20:15:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-05-23,16:35:00,BOROUGH 4,1,0,0,0,VEHOCLE TYPE 4
2020-08-23,17:45:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-03-07,13:25:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 2
2020-02-26,21:36:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-07-06,21:55:00,BOROUGH 4,2,0,2,0,VEHOCLE TYPE 1
2020-02-07,8:51:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 4
2020-02-12,11:20:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-05-12,16:15:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-01-15,11:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-04-14,12:10:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-03-18,17:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-08-07,4:53:00,BOROUGH 5,0,0,0,0,VEHOCLE TYPE 1
2020-05-09,18:15:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-01-27,7:53:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-04-14,13:29:00,BOROUGH 5,0,0,0,0,VEHOCLE TYPE 4
2020-03-21,15:40:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 2
2020-02-03,1:37:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-03-31,10:05:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 7
2020-01-11,17:31:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-07-14,19:04:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 5
2020-02-21,7:00:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 1
2020-02-24,8:18:00,BOROUGH 1,1,0,0,0,VEHOCLE TYPE 4
2020-05-17,13:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-01-16,14:17:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-01-15,17:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-05-25,7:00:00,BOROUGH 5,0,0,0,0,VEHOCLE TYPE 1
2020-05-27,16:04:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-02-20,0:00:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 3
2020-01-12,20:24:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-06-22,8:30:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-01-07,10:50:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 11
2020-08-10,21:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-08-02,0:10:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 1
2020-02-24,22:30:00,BOROUGH 1,1,0,0,0,VEHOCLE TYPE 1
2020-07-03,22:27:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-02-22,23:50:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-02-11,17:32:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 11
2020-02-17,21:11:00,BOROUGH 5,2,0,2,0,VEHOCLE TYPE 4
2020-01-19,12:22:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-06-04,16:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-03-11,9:55:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-06-18,14:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-08-16,9:30:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-05-06,16:50:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-06-03,12:26:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-07-18,2:39:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-08-15,22:27:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-04-01,17:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-02-03,14:15:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 2
2020-08-08,16:49:00,BOROUGH 5,0,0,0,0,VEHOCLE TYPE 1
